deployment_id,replicas,initial_cpu,applied_cpu,initial_avg_memory_consumption,applied_memory_consumption,initial_avg_latency,applied_latency,label
21992016,1,0.89,0.83,120.41,105.96,37.78,37.46,0
63897693,1,0.24,0.23,167.37,164.02,56.52,58.33,0
82058835,1,0.42,0.36,86.69,80.62,3.5,3.42,0
47237756,1,0.42,0.35,86.2,81.89,42.96,40.97,0
40285710,1,0.32,0.26,173.62,142.37,33.43,33.25,0
18074333,1,0.6,0.53,91.58,84.25,28.47,27.67,0
50645674,1,0.75,0.71,187.77,184.01,26.35,26.01,0
96305694,1,0.78,0.69,134.0,121.94,40.47,42.47,0
61878977,1,0.96,0.87,177.69,147.48,5.25,5.42,0
65329520,1,0.26,0.22,182.15,158.47,9.0,8.88,0
75114547,1,0.51,0.41,156.09,152.97,20.83,21.37,0
48059542,1,0.79,0.74,170.38,158.45,38.47,38.23,0
78278894,1,0.24,0.2,145.94,124.05,56.33,56.34,0
50263879,1,0.37,0.36,186.4,162.17,30.88,31.71,0
43048276,1,0.78,0.68,160.74,128.59,45.75,47.09,0
79218238,1,0.44,0.39,164.49,161.2,8.29,8.39,0
78123195,1,0.89,0.82,139.51,131.14,19.24,19.43,0
74618085,1,0.62,0.6,101.14,91.03,35.83,35.72,0
40558352,1,0.54,0.43,124.4,102.01,27.86,27.8,0
11790880,1,0.43,0.41,190.39,184.68,53.01,54.64,0
28189285,1,0.92,0.75,126.98,109.2,13.88,14.53,0
88830533,1,0.21,0.18,106.33,94.63,9.91,9.77,0
46885760,1,0.23,0.21,143.71,136.52,22.35,21.41,0
62046910,1,0.83,0.8,102.71,84.22,41.13,39.97,0
41996766,1,0.23,0.21,88.34,70.67,28.57,27.99,0
45397709,1,0.59,0.55,170.43,155.09,14.72,15.45,0
51536971,1,0.73,0.62,160.14,129.71,40.45,40.92,0
36363791,1,0.4,0.35,84.99,74.79,54.97,56.9,0
54552462,1,0.96,0.95,187.77,170.87,2.78,2.77,0
78415234,1,0.24,0.22,153.27,127.21,49.25,50.39,0
76168805,1,0.26,0.24,84.56,81.18,20.44,19.6,0
72802941,1,0.43,0.35,147.5,134.22,14.9,15.16,0
72077513,1,0.72,0.68,151.17,146.63,26.83,27.12,0
71902688,1,0.29,0.26,125.76,105.64,32.23,32.67,0
45977277,1,0.62,0.55,150.83,147.81,46.62,46.83,0
36383369,1,0.76,0.74,155.8,138.66,40.19,40.86,0
12844038,1,0.98,0.84,185.96,182.24,3.28,3.13,0
29538986,1,0.89,0.78,138.58,124.72,57.72,58.89,0
59609093,1,0.49,0.43,82.59,70.2,19.5,19.51,0
68776610,1,0.66,0.53,98.32,92.42,24.12,24.81,0
60602292,1,0.4,0.36,139.52,119.99,9.45,9.21,0
37781944,1,0.79,0.77,109.56,101.89,51.98,50.15,0
24272160,1,0.78,0.73,86.58,82.25,57.61,56.15,0
15597437,1,0.96,0.87,193.32,175.92,53.0,54.1,0
19771294,1,0.51,0.41,146.11,116.89,16.17,16.74,0
