deployment_id,replicas,initial_cpu,applied_cpu,initial_avg_memory_consumption,applied_memory_consumption,initial_avg_latency,applied_latency,label
33888664,1,0.62,0.52,87.74,158.81,41.27,66.96,1
76586005,1,1.0,0.95,162.93,177.59,39.6,43.06,1
77885216,3,0.71,0.65,149.47,269.05,5.03,8.71,1
53589719,6,0.81,0.71,162.06,110.2,3.76,4.94,1
45954454,1,0.38,0.31,188.24,165.65,26.3,47.8,1
87931527,6,0.82,0.74,152.04,50.17,44.17,80.62,1
49501059,1,0.98,0.82,142.99,255.95,27.31,45.64,1
70868921,5,0.63,0.57,105.2,139.92,54.56,70.14,1
20923196,6,0.98,0.83,149.63,158.61,20.53,24.52,1
38430761,3,0.91,0.73,128.98,76.1,10.28,19.43,1
90566091,3,0.77,0.65,117.89,109.64,4.88,6.42,1
42572164,2,0.39,0.34,140.06,189.08,11.71,19.68,1
80181420,6,0.69,0.67,100.01,186.02,48.11,81.46,1
76452646,6,0.87,0.76,183.6,75.28,45.57,61.52,1
13813713,2,0.4,0.33,82.99,34.03,26.71,43.46,1
63613895,5,0.69,0.67,198.59,274.05,14.95,22.39,1
91513979,1,0.27,0.26,105.21,116.78,47.51,64.29,1
32189576,5,0.93,0.85,149.24,267.14,41.02,57.9,1
60302441,1,0.45,0.38,194.85,241.61,1.19,1.8,1
84372645,4,0.6,0.54,99.97,115.97,13.72,26.4,1
77890957,6,0.29,0.27,130.33,118.6,24.42,29.77,1
30164902,2,0.98,0.88,129.93,77.96,48.71,79.81,1
31431993,2,0.99,0.95,132.07,112.26,11.54,18.57,1
87443971,3,0.76,0.62,197.68,349.89,47.82,65.94,1
91918210,1,0.21,0.18,162.3,321.35,59.78,74.95,1
26128807,4,0.74,0.73,178.36,23.19,6.48,10.59,1
16756683,3,0.75,0.64,122.36,90.55,25.31,33.12,1
49074379,4,0.73,0.63,147.94,186.4,35.14,58.06,1
79797916,2,0.24,0.2,128.98,46.43,27.0,51.27,1
63341941,2,0.93,0.75,82.83,104.37,30.23,43.67,1
68636898,4,0.93,0.79,80.66,135.51,50.84,72.43,1
71522543,4,0.71,0.6,80.59,11.28,37.59,57.63,1
77874151,2,0.81,0.7,96.84,69.72,24.71,29.33,1
54406077,2,0.69,0.57,108.21,86.57,13.78,26.38,1
