deployment_id,replicas,initial_cpu,applied_cpu,initial_avg_memory_consumption,applied_memory_consumption,initial_avg_latency,applied_latency,label
83866168,6,1.01,0.84,591.66,359.3,12.83,12.68,3
37459335,6,1.49,2.13,445.52,554.04,28.96,30.22,2
71237123,2,1.75,0.96,288.05,158.43,56.22,57.46,3
70804834,4,1.55,1.97,573.56,724.22,55.84,54.36,2
51818544,6,1.21,0.83,435.41,265.04,53.61,53.9,3
49851036,2,1.33,1.93,395.05,572.82,26.33,26.32,2
37320160,1,1.58,2.74,376.47,550.59,35.25,34.64,2
86131053,4,1.29,1.74,421.32,579.41,22.69,22.13,2
97875925,6,1.94,1.21,279.03,225.81,1.23,1.18,3
73801515,5,1.26,0.93,456.08,364.09,58.44,57.74,3
82160282,2,1.62,0.89,249.87,137.43,30.07,28.75,3
11257126,5,1.69,1.09,421.72,287.74,56.15,57.75,3
89012997,1,1.11,1.77,374.38,592.83,47.2,46.49,2
93507134,5,1.08,1.31,482.06,690.68,3.74,3.91,2
20677145,6,1.24,1.53,356.68,495.61,47.4,48.45,2
77991763,6,1.83,2.36,252.29,353.94,38.38,39.72,2
57482648,3,1.24,1.64,312.15,413.06,5.22,5.18,2
28779110,2,1.04,1.51,365.75,530.34,42.85,43.17,2
48093777,6,1.5,1.16,558.29,470.87,55.02,56.32,3
24685624,3,1.38,1.98,378.05,532.14,59.32,61.33,2
53638515,6,1.78,2.46,311.14,366.69,42.76,41.81,2
27863886,2,1.69,0.93,383.27,210.8,22.13,23.08,3
45878514,2,1.75,2.54,332.51,482.14,52.03,52.58,2
38074367,4,1.7,2.41,426.45,550.23,37.21,36.63,2
77337401,3,1.8,2.56,336.33,460.52,18.65,17.72,2
17785420,2,1.6,0.88,544.94,299.72,22.16,22.85,3
27446681,3,1.6,0.93,204.41,124.67,50.47,49.67,3
40261148,2,1.76,0.97,223.52,122.94,34.34,35.57,3
90207126,1,1.71,3.12,248.18,425.97,59.46,60.59,2
21758192,3,1.28,0.73,551.73,305.53,17.69,17.77,3
60249639,2,1.8,0.99,234.04,128.72,50.68,52.52,3
44738695,2,1.86,2.7,460.94,668.36,17.92,18.49,2
13675998,3,1.94,1.15,519.17,292.75,6.52,6.71,3
37388304,5,1.1,0.75,511.94,382.36,12.25,11.92,3
50750232,6,1.04,1.25,371.1,438.88,40.29,38.29,2
11739582,2,1.85,2.68,292.42,424.01,41.23,39.86,2
67987166,6,1.63,0.9,381.22,217.37,23.63,23.76,3
93113820,6,1.43,0.86,337.71,277.97,8.9,9.1,3
86963710,4,1.95,1.37,285.38,182.91,32.69,31.25,3
33526387,4,1.74,2.19,450.96,636.27,8.49,8.63,2
