deployment_id,replicas,initial_cpu,applied_cpu,initial_avg_memory_consumption,applied_memory_consumption,initial_avg_latency,applied_latency,label
55640175,1,0.3,0.01,87.79,11.41,20.27,19.77,1
46645370,1,0.51,0.04,85.5,10.26,4.14,4.18,1
60234381,1,0.67,0.08,84.88,2.55,29.15,29.69,1
61061895,1,0.82,0.08,133.94,2.68,10.79,10.77,1
39835860,1,0.33,0.03,157.49,20.47,38.13,37.18,1
56912763,1,0.71,0.06,100.98,3.03,51.31,52.34,1
70666581,1,0.39,0.02,198.56,13.9,23.68,23.55,1
59391472,1,0.45,0.05,193.49,5.8,32.64,31.17,1
61996902,1,0.48,0.04,141.67,7.08,51.11,48.87,1
50025969,1,0.78,0.09,194.7,9.73,34.2,35.15,1
41016650,1,0.68,0.02,182.04,9.1,5.16,5.27,1
76557833,1,0.39,0.05,106.25,2.12,59.36,56.91,1
35349991,1,0.92,0.07,100.9,6.05,41.53,43.18,1
66464017,1,0.71,0.03,168.22,23.55,3.06,3.2,1
62791440,1,1.0,0.01,103.84,5.19,42.46,42.69,1
79534960,1,0.8,0.05,95.34,5.72,3.33,3.21,1
35690862,1,0.21,0.0,140.03,5.6,11.92,12.15,1
35066441,1,0.98,0.01,121.69,14.6,41.66,42.78,1
57536320,1,0.23,0.01,180.48,3.61,43.58,42.24,1
50662833,1,0.69,0.03,104.3,14.6,14.84,15.33,1
49037862,1,0.59,0.08,133.5,8.01,18.89,18.72,1
66278243,1,0.26,0.02,80.98,9.72,29.94,31.4,1
43824531,1,0.55,0.03,135.46,12.19,32.43,32.9,1
68680871,1,0.53,0.07,131.83,11.86,35.81,35.6,1
66275004,1,0.23,0.01,139.26,1.39,3.54,3.53,1
22680440,1,0.94,0.02,80.61,2.42,55.61,56.0,1
19658671,1,0.29,0.0,182.54,14.6,18.64,18.91,1
19723228,1,0.77,0.06,128.29,3.85,50.03,50.65,1
65572450,1,0.42,0.05,120.36,4.81,42.69,43.02,1
12159152,1,0.4,0.02,119.75,14.37,55.08,54.77,1
25510285,1,0.35,0.03,113.66,2.27,27.55,28.41,1
17901984,1,0.35,0.05,137.38,9.62,42.97,44.76,1
51673318,1,0.94,0.1,194.09,27.17,40.92,42.49,1
10793425,1,0.61,0.04,117.8,7.07,18.67,18.9,1
66388099,1,0.39,0.02,140.5,16.86,55.42,57.8,1
64718668,1,0.96,0.02,138.95,4.17,1.08,1.03,1
12653712,1,0.24,0.0,99.85,8.99,53.0,52.23,1
92547387,1,0.95,0.13,118.77,9.5,24.61,24.95,1
38688011,1,0.34,0.03,144.1,18.73,6.9,6.94,1
